Player,YearEnd,CareerPts,Rank
Elgin Baylor,1973,23149,4
Hal Greer,1973,21586,5
Bob Pettit,1973,20880,6
Walt Bellamy,1973,19924,7
John Havlicek,1973,19100,8
Dolph Schayes,1973,18438,9
Bailey Howell,1973,17770,10
Wilt Chamberlain,1974,31419,1
Oscar Robertson,1974,26710,2
Jerry West,1974,25192,3
Elgin Baylor,1974,23149,4
Hal Greer,1974,21586,5
Walt Bellamy,1974,20935,6
Bob Pettit,1974,20880,7
John Havlicek,1974,20816,8
Dolph Schayes,1974,18438,9
Bailey Howell,1974,17770,10
Wilt Chamberlain,1975,31419,1
Oscar Robertson,1975,26710,2
Jerry West,1975,25192,3
Elgin Baylor,1975,23149,4
John Havlicek,1975,22389,5
Hal Greer,1975,21586,6
Walt Bellamy,1975,20941,7
Bob Pettit,1975,20880,8
Chet Walker,1975,18831,9
Dolph Schayes,1975,18438,10
Wilt Chamberlain,1976,31419,1
Oscar Robertson,1976,26710,2
Jerry West,1976,25192,3
John Havlicek,1976,23678,4
Elgin Baylor,1976,23149,5
Hal Greer,1976,21586,6
Walt Bellamy,1976,20941,7
Bob Pettit,1976,20880,8
Chet Walker,1976,18831,9
Dolph Schayes,1976,18438,10
Wilt Chamberlain,1977,31419,1
Oscar Robertson,1977,26710,2
Jerry West,1977,25192,3
John Havlicek,1977,25073,4
Elgin Baylor,1977,23149,5
Hal Greer,1977,21586,6
Walt Bellamy,1977,20941,7
Bob Pettit,1977,20880,8
Chet Walker,1977,18831,9
Kareem Abdul-Jabbar,1977,18638,10
Wilt Chamberlain,1978,31419,1
Oscar Robertson,1978,26710,2
John Havlicek,1978,26395,3
Jerry West,1978,25192,4
Elgin Baylor,1978,23149,5
Hal Greer,1978,21586,6
Walt Bellamy,1978,20941,7
Bob Pettit,1978,20880,8
Kareem Abdul-Jabbar,1978,20238,9
Elvin Hayes,1978,19460,10
Wilt Chamberlain,1979,31419,1
Oscar Robertson,1979,26710,2
John Havlicek,1979,26395,3
Jerry West,1979,25192,4
Elgin Baylor,1979,23149,5
Kareem Abdul-Jabbar,1979,22141,6
Hal Greer,1979,21586,7
Elvin Hayes,1979,21249,8
Walt Bellamy,1979,20941,9
Bob Pettit,1979,20880,10
Wilt Chamberlain,1980,31419,1
Oscar Robertson,1980,26710,2
John Havlicek,1980,26395,3
Jerry West,1980,25192,4
Kareem Abdul-Jabbar,1980,24175,5
Elgin Baylor,1980,23149,6
Elvin Hayes,1980,23108,7
Hal Greer,1980,21586,8
Walt Bellamy,1980,20941,9
Bob Pettit,1980,20880,10
Wilt Chamberlain,1981,31419,1
Oscar Robertson,1981,26710,2
John Havlicek,1981,26395,3
Kareem Abdul-Jabbar,1981,26270,4
Jerry West,1981,25192,5
Elvin Hayes,1981,24547,6
Elgin Baylor,1981,23149,7
Hal Greer,1981,21586,8
Walt Bellamy,1981,20941,9
Bob Pettit,1981,20880,10
Wilt Chamberlain,1982,31419,1
Kareem Abdul-Jabbar,1982,28088,2
Oscar Robertson,1982,26710,3
John Havlicek,1982,26395,4
Elvin Hayes,1982,25865,5
Jerry West,1982,25192,6
Elgin Baylor,1982,23149,7
Hal Greer,1982,21586,8
Walt Bellamy,1982,20941,9
Bob Pettit,1982,20880,10
Wilt Chamberlain,1983,31419,1
Kareem Abdul-Jabbar,1983,29810,2
Elvin Hayes,1983,26911,3
Oscar Robertson,1983,26710,4
John Havlicek,1983,26395,5
Jerry West,1983,25192,6
Elgin Baylor,1983,23149,7
Hal Greer,1983,21586,8
Walt Bellamy,1983,20941,9
Bob Pettit,1983,20880,10
Kareem Abdul-Jabbar,1984,31527,1
Wilt Chamberlain,1984,31419,2
Elvin Hayes,1984,27313,3
Oscar Robertson,1984,26710,4
John Havlicek,1984,26395,5
Jerry West,1984,25192,6
Elgin Baylor,1984,23149,7
Hal Greer,1984,21586,8
Walt Bellamy,1984,20941,9
Bob Pettit,1984,20880,10
Kareem Abdul-Jabbar,1985,33262,1
Wilt Chamberlain,1985,31419,2
Elvin Hayes,1985,27313,3
Oscar Robertson,1985,26710,4
John Havlicek,1985,26395,5
Jerry West,1985,25192,6
Elgin Baylor,1985,23149,7
Hal Greer,1985,21586,8
Walt Bellamy,1985,20941,9
Bob Pettit,1985,20880,10
Kareem Abdul-Jabbar,1986,35108,1
Wilt Chamberlain,1986,31419,2
Elvin Hayes,1986,27313,3
Oscar Robertson,1986,26710,4
John Havlicek,1986,26395,5
Jerry West,1986,25192,6
Elgin Baylor,1986,23149,7
Hal Greer,1986,21586,8
Walt Bellamy,1986,20941,9
Bob Pettit,1986,20880,10
Kareem Abdul-Jabbar,1987,36474,1
Wilt Chamberlain,1987,31419,2
Elvin Hayes,1987,27313,3
Oscar Robertson,1987,26710,4
John Havlicek,1987,26395,5
Jerry West,1987,25192,6
Elgin Baylor,1987,23149,7
Hal Greer,1987,21586,8
Walt Bellamy,1987,20941,9
Bob Pettit,1987,20880,10
Kareem Abdul-Jabbar,1988,37639,1
Wilt Chamberlain,1988,31419,2
Elvin Hayes,1988,27313,3
Oscar Robertson,1988,26710,4
John Havlicek,1988,26395,5
Jerry West,1988,25192,6
Elgin Baylor,1988,23149,7
Moses Malone,1988,21703,8
Hal Greer,1988,21586,9
Alex English,1988,21242,10
Kareem Abdul-Jabbar,1989,38387,1
Wilt Chamberlain,1989,31419,2
Elvin Hayes,1989,27313,3
Oscar Robertson,1989,26710,4
John Havlicek,1989,26395,5
Jerry West,1989,25192,6
Alex English,1989,23417,7
Moses Malone,1989,23340,8
Elgin Baylor,1989,23149,9
Adrian Dantley,1989,22458,10
Kareem Abdul-Jabbar,1990,38387,1
Wilt Chamberlain,1990,31419,2
Elvin Hayes,1990,27313,3
Oscar Robertson,1990,26710,4
John Havlicek,1990,26395,5
Jerry West,1990,25192,6
Moses Malone,1990,24868,7
Alex English,1990,24850,8
Elgin Baylor,1990,23149,9
Adrian Dantley,1990,23120,10
Kareem Abdul-Jabbar,1991,38387,1
Wilt Chamberlain,1991,31419,2
Elvin Hayes,1991,27313,3
Oscar Robertson,1991,26710,4
John Havlicek,1991,26395,5
Moses Malone,1991,25737,6
Alex English,1991,25613,7
Jerry West,1991,25192,8
Adrian Dantley,1991,23177,9
Elgin Baylor,1991,23149,10
Kareem Abdul-Jabbar,1992,38387,1
Wilt Chamberlain,1992,31419,2
Elvin Hayes,1992,27313,3
Moses Malone,1992,27016,4
Oscar Robertson,1992,26710,5
John Havlicek,1992,26395,6
Alex English,1992,25613,7
Jerry West,1992,25192,8
Adrian Dantley,1992,23177,9
Elgin Baylor,1992,23149,10
Kareem Abdul-Jabbar,1993,38387,1
Wilt Chamberlain,1993,31419,2
Elvin Hayes,1993,27313,3
Moses Malone,1993,27066,4
Oscar Robertson,1993,26710,5
John Havlicek,1993,26395,6
Alex English,1993,25613,7
Jerry West,1993,25192,8
Adrian Dantley,1993,23177,9
Elgin Baylor,1993,23149,10
Kareem Abdul-Jabbar,1994,38387,1
Wilt Chamberlain,1994,31419,2
Moses Malone,1994,27360,3
Elvin Hayes,1994,27313,4
Oscar Robertson,1994,26710,5
John Havlicek,1994,26395,6
Alex English,1994,25613,7
Jerry West,1994,25192,8
Dominique Wilkins,1994,24019,9
Adrian Dantley,1994,23177,10
Kareem Abdul-Jabbar,1995,38387,1
Wilt Chamberlain,1995,31419,2
Moses Malone,1995,27409,3
Elvin Hayes,1995,27313,4
Oscar Robertson,1995,26710,5
John Havlicek,1995,26395,6
Alex English,1995,25613,7
Dominique Wilkins,1995,25389,8
Jerry West,1995,25192,9
Adrian Dantley,1995,23177,10
Kareem Abdul-Jabbar,1996,38387,1
Wilt Chamberlain,1996,31419,2
Moses Malone,1996,27409,3
Elvin Hayes,1996,27313,4
Oscar Robertson,1996,26710,5
John Havlicek,1996,26395,6
Alex English,1996,25613,7
Dominique Wilkins,1996,25389,8
Jerry West,1996,25192,9
Michael Jordan,1996,24489,10
Kareem Abdul-Jabbar,1997,38387,1
Wilt Chamberlain,1997,31419,2
Moses Malone,1997,27409,3
Elvin Hayes,1997,27313,4
Michael Jordan,1997,26920,5
Oscar Robertson,1997,26710,6
Dominique Wilkins,1997,26534,7
John Havlicek,1997,26395,8
Alex English,1997,25613,9
Karl Malone,1997,25592,10
Kareem Abdul-Jabbar,1998,38387,1
Wilt Chamberlain,1998,31419,2
Michael Jordan,1998,29277,3
Karl Malone,1998,27782,4
Moses Malone,1998,27409,5
Elvin Hayes,1998,27313,6
Oscar Robertson,1998,26710,7
Dominique Wilkins,1998,26534,8
John Havlicek,1998,26395,9
Alex English,1998,25613,10
Kareem Abdul-Jabbar,1999,38387,1
Wilt Chamberlain,1999,31419,2
Michael Jordan,1999,29277,3
Karl Malone,1999,28946,4
Moses Malone,1999,27409,5
Elvin Hayes,1999,27313,6
Oscar Robertson,1999,26710,7
Dominique Wilkins,1999,26668,8
John Havlicek,1999,26395,9
Alex English,1999,25613,10
Kareem Abdul-Jabbar,2000,38387,1
Wilt Chamberlain,2000,31419,2
Karl Malone,2000,31041,3
Michael Jordan,2000,29277,4
Moses Malone,2000,27409,5
Elvin Hayes,2000,27313,6
Oscar Robertson,2000,26710,7
Dominique Wilkins,2000,26668,8
John Havlicek,2000,26395,9
Hakeem Olajuwon,2000,25822,10
Kareem Abdul-Jabbar,2001,38387,1
Karl Malone,2001,32919,2
Wilt Chamberlain,2001,31419,3
Michael Jordan,2001,29277,4
Moses Malone,2001,27409,5
Elvin Hayes,2001,27313,6
Oscar Robertson,2001,26710,7
Dominique Wilkins,2001,26668,8
Hakeem Olajuwon,2001,26511,9
John Havlicek,2001,26395,10
Kareem Abdul-Jabbar,2002,38387,1
Karl Malone,2002,34707,2
Wilt Chamberlain,2002,31419,3
Michael Jordan,2002,30652,4
Moses Malone,2002,27409,5
Elvin Hayes,2002,27313,6
Hakeem Olajuwon,2002,26946,7
Oscar Robertson,2002,26710,8
Dominique Wilkins,2002,26668,9
John Havlicek,2002,26395,10
Kareem Abdul-Jabbar,2003,38387,1
Karl Malone,2003,36374,2
Michael Jordan,2003,32292,3
Wilt Chamberlain,2003,31419,4
Moses Malone,2003,27409,5
Elvin Hayes,2003,27313,6
Hakeem Olajuwon,2003,26946,7
Oscar Robertson,2003,26710,8
Dominique Wilkins,2003,26668,9
John Havlicek,2003,26395,10
Kareem Abdul-Jabbar,2004,38387,1
Karl Malone,2004,36928,2
Michael Jordan,2004,32292,3
Wilt Chamberlain,2004,31419,4
Moses Malone,2004,27409,5
Elvin Hayes,2004,27313,6
Hakeem Olajuwon,2004,26946,7
Oscar Robertson,2004,26710,8
Dominique Wilkins,2004,26668,9
John Havlicek,2004,26395,10
Kareem Abdul-Jabbar,2005,38387,1
Karl Malone,2005,36928,2
Michael Jordan,2005,32292,3
Wilt Chamberlain,2005,31419,4
Moses Malone,2005,27409,5
Elvin Hayes,2005,27313,6
Hakeem Olajuwon,2005,26946,7
Oscar Robertson,2005,26710,8
Dominique Wilkins,2005,26668,9
John Havlicek,2005,26395,10
Kareem Abdul-Jabbar,2006,38387,1
Karl Malone,2006,36928,2
Michael Jordan,2006,32292,3
Wilt Chamberlain,2006,31419,4
Moses Malone,2006,27409,5
Elvin Hayes,2006,27313,6
Hakeem Olajuwon,2006,26946,7
Oscar Robertson,2006,26710,8
Dominique Wilkins,2006,26668,9
John Havlicek,2006,26395,10
Kareem Abdul-Jabbar,2007,38387,1
Karl Malone,2007,36928,2
Michael Jordan,2007,32292,3
Wilt Chamberlain,2007,31419,4
Moses Malone,2007,27409,5
Elvin Hayes,2007,27313,6
Hakeem Olajuwon,2007,26946,7
Oscar Robertson,2007,26710,8
Dominique Wilkins,2007,26668,9
John Havlicek,2007,26395,10
Kareem Abdul-Jabbar,2008,38387,1
Karl Malone,2008,36928,2
Michael Jordan,2008,32292,3
Wilt Chamberlain,2008,31419,4
Moses Malone,2008,27409,5
